pid,assessed_value
1,641105.17
2,63215.94
3,22072.08
4,126702.44
5,285628.03
6,221597.84
7,67932.08
8,190759.48
9,91488.13
10,349339.89
11,210636.82
12,471724.69
13,330825.96
14,622738.37
15,86047.08
16,273637.33
17,45410.36
18,180715.47
19,71821.63
20,103408.75
21,197976.15
22,103979.94
23,73577.16
24,46741.92
25,58084.33
26,430862.43
27,69835.6
28,379582.96
29,300332.69
30,207041
31,562295.24
32,34372.89
33,774252.47
34,131816.3
35,373509.95
36,238485.29
37,139538.8
38,365872.25
39,645375.94
40,229590.22
41,280798.87
42,212843.5
43,125519.6
44,242247.36
45,238373.42
46,205401.58
47,303667.81
48,358638.96
49,133060.12
50,199201.69
51,272267.6
52,74838.68
53,69976.8
54,565655.17
55,289014.21
56,43661.47
57,130310.91
58,127715.66
59,188812.37
60,139275.16
61,254795.96
62,223912.74
63,56200.87
64,435186.95
65,328910.76
66,85747.1
67,175418.06
68,248428.35
69,432419.26
70,49723.54
71,609076
72,330457.35
73,670009.82
74,303124.72
75,114351.98
76,158275.22
77,234839.2
78,539291.43
79,208529.17
80,303798.16
81,143276.13
82,812477.42
83,429060.7
84,95899.86
85,569293.55
86,83534.38
87,68315.97
88,226656.31
89,222117.27
90,268937.55
91,61310.39
92,365944.14
93,1151997.97
94,80351.47
95,76612.33
96,60380.87
97,182397.57
98,237295.81
99,70755.7
100,229105.97
101,300816.55
102,704959.51
103,297157.16
104,257902.2
105,181439.21
106,274570.29
107,29681.8
108,107431.94
109,1050397.62
110,241881.46
111,84862.72
112,188483.31
113,334999
114,333090.77
115,371337.02
116,274622.93
117,198420.15
118,214023.66
119,237544.65
120,522805.37
121,725873.83
122,102263.97
123,348929.35
124,333339.27
125,126563.68
126,509537.25
127,25661.89
128,368516.13
129,610709.82
130,323935.33
131,265618.84
132,446522.86
133,100302.55
134,522890.63
135,191867.5
136,658057.77
137,276635.38
138,282227.95
139,276932.6
140,125633.73
141,311509.22
142,185338.66
143,158897.27
144,201734.04
145,44854.52
146,569429.3
147,505861.37
148,58972.42
149,71922.12
150,702926.05
151,311147.89
152,212594.39
153,213242.33
154,172116.9
155,721456.25
156,358335.37
157,347837.26
158,18590.15
159,237090.19
160,60983.36
161,380000.58
162,188915.39
163,148159.12
164,667599.49
165,604530.39
166,468138.07
167,1030743.42
168,46636.61
169,301813.97
